LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
"MO","MISSOURI","2929280","ST. LOUIS CITY","01986","OAK HILL ELEM.","292928001986","DD",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2901000","COLUMBIA 93","00307","PARKADE ELEM.","290100000307","DD",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2901000","COLUMBIA 93","00309","ROCK BRIDGE ELEM.","290100000309","DD",0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"MO","MISSOURI","2923340","GASCONADE CO. R-II","03008","OWENSVILLE ELEM.","292334003008","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2914340","HICKMAN MILLS C-1","00651","COMPASS ELEMENTARY","291434000651","DD",0,0,2,0,1,0,0,0,0,0,0,0,0,1,4,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
"MO","MISSOURI","2914340","HICKMAN MILLS C-1","00663","TRUMAN ELEM.","291434000663","DD",0,0,4,0,0,0,2,0,0,1,0,0,0,1,8,1,5,0,2,0,0,0,1,1,4,0,0,0,0,0,1,1,0,0,0
"MO","MISSOURI","2901000","COLUMBIA 93","03271","ELIOT BATTLE ELEMENTARY","290100003271","DD",0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2901000","COLUMBIA 93","00310","RUSSELL BLVD. ELEM.","290100000310","DD",0,0,1,1,0,0,1,0,0,0,0,0,0,3,6,2,1,0,3,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0
"MO","MISSOURI","2901000","COLUMBIA 93","02770","MARY PAXTON KEELEY ELEM.","290100002770","DD",0,1,0,0,0,0,2,0,0,1,0,0,0,1,5,1,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
"MO","MISSOURI","2901000","COLUMBIA 93","02665","DERBY RIDGE ELEM.","290100002665","DD",0,0,1,0,1,0,1,0,0,1,0,0,0,0,4,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
"MO","MISSOURI","2901000","COLUMBIA 93","00305","JOHN RIDGEWAY ELEM.","290100000305","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2922650","NORMANDY SCHOOLS COLLABORATIVE","03269","NORMANDY EARLY LEARNING CENTER","292265003269","DD",0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"MO","MISSOURI","2929280","ST. LOUIS CITY","01958","LEXINGTON ELEM.","292928001958","DD",0,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0
"MO","MISSOURI","2900591","KIPP ST LOUIS PUBLIC SCHOOLS","03363","KIPP WONDER ACADEMY","290059103363","DD",0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"MO","MISSOURI","2926220","REPUBLIC R-III","03171","MCCULLOCH ELEMENTARY","292622003171","DD",0,0,0,0,0,0,3,0,0,0,0,0,0,2,5,0,3,0,2,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0
"MO","MISSOURI","2913140","GRANDVIEW C-4","00549","BUTCHER-GREENE ELEM.","291314000549","DD",0,0,1,1,0,0,0,0,0,0,2,0,0,0,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
"MO","MISSOURI","2913140","GRANDVIEW C-4","00550","CONN-WEST ELEM.","291314000550","DD",0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2919350","WOODLAND R-IV","01045","WOODLAND ELEM.","291935001045","DD",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2927090","SALEM R-80","01679","WM. H. LYNCH ELEM.","292709001679","DD",0,0,0,0,0,0,7,0,0,0,0,0,0,2,9,0,7,0,2,0,0,0,1,1,5,0,0,0,0,0,0,0,2,0,0
"MO","MISSOURI","2914400","LAFAYETTE CO. C-1","00669","GRANDVIEW ELEM.","291440000669","DD",0,0,0,0,1,0,5,0,0,0,0,1,0,2,9,0,6,0,3,0,0,0,0,2,4,0,0,0,0,0,0,2,1,0,0
"MO","MISSOURI","2913140","GRANDVIEW C-4","00555","MEADOWMERE ELEM.","291314000555","DD",0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2909900","COLE CAMP R-I","00292","COLE CAMP ELEM.","290990000292","DD",0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2930330","TIPTON R-VI","02075","TIPTON ELEM.","293033002075","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2926220","REPUBLIC R-III","03160","PRICE ELEMENTARY","292622003160","DD",0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"MO","MISSOURI","2913140","GRANDVIEW C-4","00554","MARTIN CITY ELEM.","291314000554","DD",0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
"MO","MISSOURI","2908170","CASSVILLE R-IV","00217","EUNICE THOMAS ELEM.","290817000217","DD",0,0,0,1,0,0,3,0,0,0,0,0,0,2,6,0,4,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0
"MO","MISSOURI","2905580","BOONVILLE R-I","00102","HANNAH COLE PRIMARY","290558000102","DD",0,1,1,0,0,0,6,0,0,0,1,0,0,4,13,0,8,0,5,0,0,0,2,5,1,0,0,0,0,1,0,3,1,0,0
"MO","MISSOURI","2922140","NEWBURG R-II","01228","NEWBURG ELEM.","292214001228","DD",0,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,3,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0
"MO","MISSOURI","2926220","REPUBLIC R-III","03175","SCHOFIELD ELEMENTARY","292622003175","DD",0,0,0,0,1,1,3,0,0,0,0,1,0,2,8,0,5,0,3,0,0,0,2,1,2,0,0,0,0,0,0,0,3,0,0
"MO","MISSOURI","2913140","GRANDVIEW C-4","00548","BELVIDERE ELEM.","291314000548","DD",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
